,Name,style,IBU,ABV,Description
62,Juice Machine,IPA - Imperial / Double,70,8.2,"Juice Machine was originally devised and brewed to support our very first trip to Extreme Beer Festival in 2014. It is essentially a marriage of the King Julius malt bill with a hopping schedule more intense than than Very Green. The use of Magnum, Columbus, Amarillo, Citra, and Galaxy creates perhaps our most complex beer with unapologetic flavors of mango, creamy orange sorbet, papaya, and passion fruit with wave after wave of juicy hop flavor. In spite of its intensity, it is pillowy soft and drinks like a true pleasure - the embodiment of the Tree House ideal of hoppy beer. Never abrasive or harsh, It is just as enjoyable on the last sip as it is on the first. It is a mess of hop flavor that takes us to a place that few other of our beers do. It’s hop nirvan"
64,Very Hazy,IPA - Imperial / Double,80,8.6,"A kicked up version of Haze, our Double IPA, Very Hazy is a beer that makes us Very Happy! Very Hazy conveys all the beautiful flavors of Haze, but with even greater depth and potency. Pungent grapefruit notes greet your palate while an underlying current of soft tropical fruit dances in the background. Just the right amount of bitterness balances the sweet fruit flavors while a velvety soft mouthfeel make you easily (and dangerously!) forget this one clocks in at 8.6% ABV. A huge and beautiful beer that maintains softness and delicacy"
74,That's What She Said,Stout - Milk / Sweet,28,5.6,"A sneakily complex beer, ""TWSS"" exhibits flavors of milk chocolate, dark roasted coffee, caramel, and even a hint of smoke. It is absolutely loaded with flavor for a 5.6% beer, and the inclusion of Lactose takes the edge off of the dry, roasty notes found in a typical stout. The adult chocolate milk shake. . . with this batch being very chocolate heavy! A beer that is notorious for converting ‘pale’ beer lovers to the dark side"
100,Gertrude's Ghost,IPA - New England / Hazy,24,7.0,Juicy fruit and citrus are dominant in aroma and flavor with low bitterness for dangerously drinkable beer.
109,Buttons the Bear,Stout - Oatmeal,20,6.0,"A rich, roasted character from the roasted barley with a smooth clean finish, this stout also contains flaked oats to give you that full mouth feel. This Oatmeal Stout is coming in at 6% with only 20 IBU"
111,Oktoberfest Marzen,Märzen,16,6.0,"Our Marzen is a traditional, well balanced, malt forward Oktoberfest. We used primarily Pilsen and light caramel grains with Herschbucker Hops."
114,Loaded For Bear,IPA - Imperial / Double,81,9.0,"Loaded for Bear - An Imperial IPA with big hop flavor and a pronounced bitterness. We brewed this IPA with Gambrinus ESB, Honey, Gambrinus Vienna and Pale Crystal malts. We added Amarillo and Fuggle hops that attribute to a balanced nose with fruit and earthy notes"
118,7 West,Bock - Single / Traditional,18,7.0,"Big malt character dominates this wickedly smooth lager. A wickedly smooth lager still nicely balanced with Mittelfruh hops. A favorite of our Brewmaster, Charles. This beer is dangerously drinkable"
120,Hawk Watch,IPA - American,56,7.0,"Big hops is the name of the game for this IPA, but don`t let the hoppy characteristics shy you away from this delicious IPA. Thanks to the addition of Amarillo, this hoppy IPA is a citrus bomb. We paired the Amarillo hops with a new variety of hops straight from Germany, Callista. Calllista hops attribute to the juicy flavor in this IPA. 7% ABV and 56 IB"
121,Well Made IPA,IPA - American,56,7.0,"The classic American IPA is “well-made.” The big hop flavor and floral aroma of ygis brew comes from the generous use of Cascade and Amarillo hops. Easy drinking with a crisp, clean finish that will have you coming back for more"
122,Pumpkin Patches,Pumpkin / Yam Beer,20,5.5,"This is a very approachable pumpkin beer, it is well balanced with just the right amount of homemade pumpkin spice. We received our pumpkins from Great Country Farm in Bluemont, VA and then we roasted the pumpkins with brown sugar"
123,Steep Slopes,IPA - American,40,7.0,"The slight reddish hue comes from the use of Red X, a relatively new malt from Germany. The us of Simcoe hops smooths out the pronounced piney character from the generous dose of Centennial hops. This brew has big hop characteristics without an overwhelming bitterness"
125,2 Hopper,IPA - American,67,6.4,"What looks like an easy play turns into trouble when the ball makes a few extra hops than the fielder intended. The 2 Hopper has just enough hops for an IPA, but still has an easy finish to make the out"
126,Knuckle Bock,Bock - Single / Traditional,20,6.5,We bet you didn’t see this one coming. This is a one-of-a-kind bock that’s packed full of rich flavors yet is surprisingly smooth. Baffle your friends when you hand them a Knuckle Bock
127,6-4-3,Pale Ale - Belgian,26,5.0,"Not only a pitcher's best friend but also a great beer to share in a pinch with your best friends. A routine 6-4-3 provides a breath of fresh air, and like a double play, this provides that taste to get you out of any jam"
128,Airmail,Blonde Ale,12,5.0,We've all seen it before. A player is too relaxed or overzealous and sends an easy throw to the first baseman into the stands. Airmail is crisp and refreshing. It is easily enjoyed when relaxing or at play
129,"3 Up, 3 Down",IPA - Imperial / Double,85,8.6,"It’s the bottom of the ninth, and you need someone dependable to seal the victory. Like a reliable closer, you expect your Imperial IPA to be a strong option with an arsenal of different characteristics.
3 Up, 3 Down is a lights out choice that steps up to the challenge"
131,Czech Swing,Pilsner - Czech,33,5.4,"Here's a judgment call that everyone will agree on. The light, crisp flavor is as sharp as the batter at the plate. Perceptive beer-drinkers and batters alike always consider taking a Czech Swing"
133,Chin Music,Pale Ale - American,38,5.4,"You won’t want to back off from this one. The volume of citra hops in Chin Music is as reckless as a heater thrown high and inside, resulting in an explosive citrus flavor that will certainly send a message"
151,StoutBoiz,Stout - Imperial / Double Oatmeal,35,14.3,"The OG of our Pastry Stouts! ""Stoutboiz"", based off our award winning Oatmeal Stout and scaled up to 14%. Conditioned with a big blend of milk and dark chocolates, mounds of toasted organic coconut, and vanilla beans. It's designed to balance drinkability and a heck of a lot of flavor"
157,Laps Around the Sun,IPA - Triple New England / Hazy,105,10.0,"""LAPS AROUND THE SUN"" is a New England Style Triple IPA Whirpool ? Hopped with an Obnoxious Amount of Azacca, Simcoe, and El Dorado... We Dry Hopped this one 3X with a Brilliant Batch of 2020 Enigma, a Newer Hop from Australia"
225,Take Me To Tampa,Stout - Imperial / Double,30,14.5,"2019 Vintage:Imperial Stout aged on Knob Creek Single Barrel Select with Coconut, Nibs, Rostovs Swiss Chocolate Macadamia nut coffee, and Maple syrup. Collaboration with Seek Brewin"
228,Sugar Diamond+Wood,Barleywine - English,40,16.0,Sugar Diamonds aged in small format Balcones Corn Whiskey Barrel with Michter US 1 Spirals
229,Prolyferous (Rye Whiskey Vanilla),Stout - Imperial / Double Milk,30,14.5,Prolyferous is the rebrand name of our base oatmeal milk stout that we have dialed in over the last 2 years. This version was aged in Rye Whiskey barrels and blended with Tahitian and Madagasacar Vanilla beans at a rate of 1.5lb per BBL. Taste of dark and milk chocolate layered in with marshmallow fluff and vanilla frosting. Just sweet enough to give the beer depth without being cloying
231,Harshmallow Mandjee,Stout - Imperial / Double,40,14.5,"We love Marshmallow Handjee so much we tried to make our own. Knob Creek Bourbon Barrel stout with Nibs, Vanilla Beans, and a ton of Marshmallows. Got Insulin?

Batch 1 (2018"
232,Slide,Porter - Imperial / Double,30,11.5,"Balcones Corn Whiskey Barrel Aged Imperial Porter with Rostovs Crème Brule Coffee, Pecans, and Marshmallows"
236,Maple Morning Grind,Porter - Imperial / Double,30,11.5,"Balcones Corn Whiskey aged Imperial Porter with Rostovs French Vanilla Coffee, Maple syrup, and Cinnamon"
247,Chaos You Came For,Stout - Imperial / Double Milk,30,10.5,"Imperial Milk Stout with Chocolate, Vanilla, Maple, and Bellator Cinnamon Hazelnut Coffee"
248,Raspberry Almond Screwball,Sour - Berliner Weisse,10,4.2,"Screwball series Berliner Weisse with Raspberry puree, Almonds, and Vanilla"
275,Black Forest Moon (Rum Barrel Aged),Stout - Imperial / Double,90,11.0,"Even the mighty fall to defeat on the Black Forest Moon. Even the greatest technological terror can not stand against its forces. Sweet, dark cherry, chocolate and luscious vanilla, with hints of wood and rum combine to overwhelm the invaders. ...not bad for a little fur ball. Yub yub"
276,Black Forest Moon,Stout - Imperial / Double,90,10.8,"Even the mighty fall to defeat on the Black Forest Moon. Even the greatest technological terror can not stand against its forces. Sweet, dark cherry, chocolate and luscious vanilla combine to overwhelm the invaders. ...not bad for a little fur ball. Yub yub"
277,Bounty Hunter,Porter - Imperial / Double,79,12.7,"A toasted coconut/blueberrry/vanilla Imperial Porter is hunting you...it's watching you right now....waiting to strike! It promised ""no disintegrations"", but at this strength, you'll be lucky if you're in one piece when it's done with you.."
278,Scoundrel,Stout - Imperial / Double,85,13.8,"A Smoked Imperial Breakfast Stout with coffee, chocolate and maple syrup. Smoke fills the mouth, like standing in front of an open fire on a cold morning...the coffee bursts in with dark chocolate in abundance....next comes the sweet maple syrup, rich and deep...hair of the dog never felt this good.."
279,Vader’s Pyre,Stout - Imperial / Double,93,12.8,"A smoked Imperial Stout, with marshmallows and cinder toffee. The perfect accompaniment to bonfire night...or the immolation of your dark side seduced father? You decide"
280,Kessel Run,Porter - Imperial / Double,54,13.1,"A peanut butter/jelly Porter. Redolent of sepia-tinged childhood, playing army with your mates on those endless summer days when you were 9....back home for butties and pop....and not a Peruvian bear in sight"
281,"""It's a Trappist!""",Belgian Quadrupel,39,10.1,Hints of liquorice give way to figs and dried fruit. Rich malts and chewy toffee with a velvety mouthfeel...aged in oak.
282,Emperor's Black Heart: Episode II,Stout - Imperial / Double,109,14.2,"A return to the dark side. A huge Damson Chocolate Imperial Stout. Black as the Emperor's heart and as seductive as it is evil...remember, you are not a Jedi yet.."
283,Fly Casual,Stout - Imperial / Double,101,11.0,"Thick dark chocolate coats the mouth, rich and decadent. Pineapple acidity creeps along the palate refreshing, cleansing, preparing you for the next sip. At this ABV, this is a dangerous situation, best to keep your distance....but don’t look like you’re trying to keep your distance"
284,Imperial Guard,Stout - Imperial / Double,97,11.4,"A sour cherry, chocolate Imperial Stout....the Imperial Guard are The Emperor's personal protection. Of all the troops, these are the very best of the best.

""...follow me...The Emperor has been expecting you..."
285,Bith Please,Barleywine - American,63,11.5,"My homage to Brewdog's Bitch Please. Warm, boozy and smoky aspects of an Islay scotch whisky with the sweet malt and devastatingly rich attributes of
a barley wine. Peat smoke features
prominently, backed up with a complex fruity hop profile"
286,Smoking Gun,Stout - Imperial / Double,102,12.8,"With smoked malt making up the majority of the grain bill, this is a big, smoky beast of a beer! Cacao nibs and maple syrup in the secondary, with a huge amount of Costa Rican, Finca Salaca coffee...this is the perfect ""morning after the night before"" pick-me-up"
287,Boba Brett,Belgian Quadrupel,38,11.5,"A bretted, sour Belgian Quad....weird. Interesting. Great! :-D"
288,Emperor's Black Heart,Stout - Russian Imperial,105,13.7,Damson Chocolate Imperial Russian Stout. Like a damson chocolate gateaux...pudding beer!
289,Hokey Religion,Stout - Imperial / Double,85,12.6,"Dark Chocolate & Toasted Coconut Imperial Stout.
1kg of toasted coconut in 20l of beer, which spent 8 weeks in an oak cask sitting on 600g of spiced rum soaked cacao nibs.

...it’s great...but no substitute for a good blaster at your side, kid...

Limited edition batch - only 47 bottles"
293,Imperial Assault,Stout - Imperial / Double,38,11.5,"Aged 9 months in a Jack Daniels bourbon cask, this beer is not for the timid. Dark malt and complex hops, slightly sour with an enormous bourbon assault!

""Lord Vader, you may begin your landing..."
294,Tarkin's Slave,Belgian Quadrupel,39,10.6,"...before the rebellion, when the Empire ruled with absolute authority, Gial Ackbar was a slave. Through his many long years of bondage he learned from his captor...it’s how he recognised that...”It’s a trap!”

We love bretted beer here at Emperor’s, but how to get the aroma and a subtle, not overpowering brett taste without sacrificing the sweetness and body of a quad?? After over two years in oak cask, we think we finally got what we were looking for...we hope you do too"
295,Vader's Revenge,Barleywine - Other,87,12.4,"A raspberry, ginger and smoked morita chilli barley wine. Huge raspberry fruit at the start followed by a sneaking heat from the chilli...alcohol is well hidden. Try a few, but make sure you're sitting down! :-"
296,Rusty Innards,Stout - Imperial / Double,86,13.0,"Thick, luscious dark chocolate giving way to rich, grainy coffee...but wait, what’s this? The heat is starting to build. Smoky Morita chilli prickles the tongue and tickles the lips. It’s not that you don’t like chilli...it’s just that chilli doesn’t like you...

“No. I don’t like you either..."
297,Nerf Herder,Stout - Imperial / Double,104,12.0,"An Imperial Mocha Stout. Deep mocha aroma. In the mouth...a huge, creamy chocolate hit with a subtle roast coffee undertone. 600g of cacao nibs in the secondary and 250g of Costa Rican coffee cold steeped over night into 18"
298,Frozen In Carbonite,Stout - Imperial / Double,92,12.4,"Rich, smoky dark chocolate gives way to sweet vanilla, with berry fruit and a hint of sour cherries. This beer will ensure you are quite well protected....if you survive the drinking process...

Exclusively available at Weymouth Craft Beer Festival 17th/18th March with proceeds going to Brain Tumour Support!"
299,Dengar's Damson Stout,Stout - Foreign / Export,72,10.0,Imperial Stout racked onto gin soaked damsons.
364,A Silent Pursuit,Barleywine - Other,25,13.34,"A Silent Pursuit is the first Munichwine to be bottled/released, ever. Munichwine is a new sub-style of barleywine that I have created quietly at Private Press throughout the pandemic. The genesis of this new beer style is rooted in my admiration for both barleywine and Munich malt. A Silent Pursuit was Aged in both bourbon and California grape brandy barrels, and reminds me of spirit-soaked bread pudding, topped with toasted nuts, flambéed bananas, and covered in a date caramel sauce. -Brad Clar"
407,Elemental,Farmhouse Ale - Saison,22,7.88,Farmhouse Ale brewed with New Jersey Farm Honey. Fermented with house wild farmhouse culture.
417,Up & Away,IPA - American,38,6.4,Our IPA
419,Winds & Turns,Farmhouse Ale - Saison,20,6.2,Farmhouse Ale brewed with foraged Dandelions. Fermented using house wild farmhouse culture.
443,Prong Horn,Lager - Helles,2,5.0,Unfiltered Barvarian-Style Helles.
447,Goshawk’s Grasp,Stout - Imperial / Double Coffee,40,13.2,Imperial Stout with Coffee and Hazelnuts added
448,Coconut Crown,Stout - Imperial / Double Pastry,40,14.2,"Imperial Stout with Coconut Candy, Coconut Syrup, Coconut Water, Desiccated Coconut, Shredded Coconut, and Toasted Coconut Added; collaboration with Three Chief"
451,Nano Challa,Stout - Imperial / Double Coffee,30,12.3,Imperial Stout with Nano Challa Ethiopian Coffee and Hazelnuts Added
455,Another Dose,Stout - Imperial / Double Coffee,40,12.0,"Imperial Stout with Chocolate, Coffee, Hazelnuts, and Vanilla Added"
457,Double Dose²,Stout - Imperial / Double Pastry,40,12.5,"French Oak Barrel Aged Imperial Stout with 2x Chocolate, 2x Coffee, 2x Hazelnuts, and 2x Vanilla added"
458,Oceanside’s Twelve,Stout - Other,40,14.6,Blend of Imperial Stouts Aged in Vanilla Barrels with Bourbon Madagascar Vanilla Caviar and Ugandan Vanilla Beans Added
459,Coco Dose,Stout - Imperial / Double Coffee,30,12.0,"Imperial Stout with Chocolate, Coffee, Hazelnuts, Toasted Coconut, and Vanilla Added"
460,Dade Dolphin,Stout - Imperial / Double Pastry,40,12.2,"Imperial Stout with Coconut Candy, Coconut Sugar, Desiccated Coconut, Marshmallows, and Muscovado Sugar Added"
461,Pacific Porpoise,Stout - Imperial / Double,40,12.2,"Imperial Stout with Coconut Sugar, Coconut Syrup, Marshmallows, Muscovado Sugar, Raw Coconut, and Toasted Coconut Flakes Added"
462,"Seagle, Not Seagull",Stout - Imperial / Double Coffee,30,14.0,"Imperial Stout with Coffee, Hazelnut, and Maple Syrup Added"
464,Baza Bonne Bouche (Purple Label),Stout - Imperial / Double Coffee,30,13.8,"Imperial Stout with Chocolate, Coffee, Graham Crackers, Marshmallows, Mixed Nuts, and Vanilla Bean Added

*Red Label recalled on 9/25/2020 due to suspected infectio"
466,Feather Pluckin’,Stout - Imperial / Double Pastry,40,12.4,"Imperial Stout with Blueberry, Chocolate, Coconut, Pecans, and Vanilla Added"
467,A Christmas Friggin’ Miracle,Stout - Imperial / Double Coffee,40,16.4,"Imperial Stout with Weller Bourbon Barrel Aged Geisha Coffee, Bourbon Madagascar Vanilla Bean, and Bourbon Barrel Aged Maple Syrup Added; Collaboration with Run The Jewel"
468,Thicc Skin,Stout - Imperial / Double Pastry,30,12.6,"Imperial Stout with Chocolate, Coffee, Peanut Butter, Peanut Flour, and Vanilla Bean Added"
469,Push the Boundaries (Yellow Label),Stout - Imperial / Double Coffee,32,14.8,"Imperial Stout with Almonds, Chocolate, Coffee, and Vanilla Added *Black Label recalled on 9/25/2020 due to suspected infection"
471,Saison,Farmhouse Ale - Saison,25,5.5,"Our Saison is as old-world as it gets. We use 100% Colorado ingredients: Colorado water, malted and raw barley and wheat, Crystal hops and a yeast blend of saison yeast, brettanomyces and lactobacillus. We ferment the beer in custom-made open oak barrel fermenters. After this rustic primary fermentation, the beer goes to other barrels for further aging and flavor development. The result is a citrusy, dry, tart and effervescent beer worthy of sharing"
473,East Bank,Farmhouse Ale - Saison,25,6.5,"We brewed a higher gravity version of Saison and added 4 gallons of local honey from across the river in the whirlpool to create East Bank. Sprinkle in some Munich malt and a generous amount of Cascade hops and East Bank is born. 100% CO ingredients. 6.5% Alc. By Vol, 25 IBU"
475,Fruit Stand - Blackberry,Farmhouse Ale - Saison,12,5.5,Fruit Stand series farmhouse ale on Colorado blackberries...
479,Fruit Stand - Peach,Farmhouse Ale - Saison,12,5.5,Fruit Stand series farmhouse ale on Colorado peaches.
490,Casey Family Preserves - Nectarine,Farmhouse Ale - Saison,15,6.0,2.2 lbs fruit/gallon
496,Pink Dot,Wild Ale - American,12,6.7,"Golden Wild Ale aged in oak barrels with rasberries, ginger and lemon zest."
497,Green Dot,Wild Ale - American,12,5.0,"Golden Sour aged in Sauvignon Blanc barrels, dry hopped with Galaxy, Nelson and Mosaic"
498,Dot Dot Dot...,Wild Ale - American,10,8.0,"Dot Dot Dot... a golden sour ale aged with Empress plums, honey and a hit of peppercorns. Aged in oak 10-14 months. Tasting notes of vanilla, raisin, stone fruit, lacti"
499,Silver Dot,Wild Ale - American,10,6.4,Blended Red Wild Ale aged in Italian wine Foudres for 18-24 months.
500,Orange Dot,Wild Ale - American,12,6.5,Golden sour ale fermented and aged in oak barrels with roasted Cara Cara oranges and Vermont wildflower honey.
501,Yellow Dot,Wild Ale - American,12,6.5,"Golden Sour aged in Gin barrels with Vermont wild flower honey and lavender, elderflower and chamomile"
502,Crushed Dot Cuvée,Wild Ale - American,10,10.8,Vermont Wild Ale blended with hand crushed Petite Pearl and Merlot Grapes from Shelburne Vineyard and naturally fermented in French oak.
503,Purple Dot,Sour - Other,12,5.8,Golden Sour Ale aged in red wine barrels with blackberries and blackcurrants
504,Black Dot,Wild Ale - American,10,6.4,14 month old Wild Ale aged in oak barrels with Black Mission Figs and Star Anise.
505,Red Dot,Wild Ale - American,10,6.7,Wild Ale aged in oak barrels with Balaton and Montmorency tart cherries.
506,House Dot #2,Wild Ale - American,10,6.5,House Dot #2 is a golden sour ale aged in oak barrels with Buddha Hand citrus and organic ginger
507,Pop Dot,Wild Ale - American,12,5.8,"Golden Sour aged in oak barrels with Vermont Honey, Vermont Cranberries, Hibiscus and Orange Zest"
508,House Dot #3-2017,Wild Ale - American,8,5.8,"A blend of 8 and 12 month old Golden Sour Ale aged in Chardonnay wine barrels with fresh Pineapple.
House Dot releases will be a revolving blend of flavors and barrels. House Dot will only be available at Foam Brewers"
509,House Dot #4 2017,Wild Ale - American,10,6.5,House Dot #4 2017 is a blend of 8 to 15 month old American Wild Ale aged in wine barrels.
510,Kusama Dot,Wild Ale - American,8,5.3,"Blended sour ale aged on mangos, toasted coconut and lime zest."
511,Perpetual Dot,Wild Ale - Other,6,5.0,"2 year blended Golden Wild ale fermented and aged in oak barrels with Vermont wildflower honey, Guava and Lemon peel. Bottled 11/2019."
512,House Dot #1-2016,Wild Ale - American,10,6.5,House Dot #1 October 2016 is a Blended Golden Sour aged in Gin Barrels. House Dot releases will be a revolving blend of flavors and barrels. House Dot will only be available at Foam Brewer
513,Spontaneous Dot-Elderberry,Wild Ale - American,6,5.0,"A special beer to share with you for Foam Brewers 4th Anniversary. Spontaneous Dot Elderberry is a Vermont grown beer naturally fermented and conditioned using the wild countryside yeast and bacteria. This beer was fermented and aged in oak and expresses a lively earthy acidity that’s jammy with a light natural tannic wine funk. ⠀
⠀
In the Fall of 2016, we set forth to brew our first Vermont spontaneous grown beer. We aptly chose Andrew Peterson's farm malthouse that is situated around Boyers Fruit orchard in Monkton. Under the cool night sky where the Vermont wild yeast blows we allowed this dextrin rich wort made from Vermont grown and malted barely, raw wheat from Nitty Gritty Grain of Charlotte, and a touch of aged hops from Homestead Hops of Starksboro settle in for the evening. We followed up with the same process in 2017 where both vintages sat untouched in 500 liter oak barrels. In the fall of 2018 we blended and finished this beer off with Elderberries from @Thorn Hill Farm of Greensboro. Following a final barrel fermentation and aging, we bottle conditioned this beer in the summer of 2019 with Burlington’s own BTV honey.

- Todd & Bil"
518,House Dot #5,Wild Ale - American,10,5.2,Blended wild ale aged 12-18 months in oak barrels with Rose Hips and Orange Peel
519,Close Dot,Sour - Other,10,5.8,"Brewed and fermented in oak September 2017, Close Dot is a Golden Wild Ale blended and aged in Sauvignon Blanc wine barrels in early 2019 on cut pineapple, Vermont wildflower honey and a light drop of Australian Galaxy hops. This sour wild ale has tropical expressions of candied lemon, coconut and ripe pineapple. Bottling date August 2019"
521,Julius,IPA - American,72,6.8,"Bursting with pungent American hops, Julius - our flagship American IPA - is a bright, juicy beer filled with flavors and aromas of mango, peach, passionfruit, and a melange of citrus juice. A soft, pillowy mouthfeel and rounded bitterness ensure Julius will never tire the palate - a true joy to drink"
522,Haze,IPA - Imperial / Double,90,8.2,"Our Double IPA! We smell a ton of peach on the nose, with complimentary notes of orange and passionfruit. The flavor is similar with a blast of citrus fruit & peach quickly followed by a bounty of tropical fruit. A lingering and pleasant saturated hop oil finish awaits. . . . A real juice bomb of a beer"
523,Green,IPA - American,90,7.5,"Our cross-continental IPA! Made with Australian and American hops, this tropical heavy IPA opens up in the glass with notes of hugely flavorful notes of lemon-lime, pineapple, orange sorbet, and tangerine. It has a soft but pointed bitterness and a rich, velvety mouth feel. Intensely kettle and dry hopped yet balanced and flavorful, Green is a beloved crew favorite here at Tree House"
524,Alter Ego,IPA - American,72,6.8,"Alter Ego is a member of the Julius family, taking the base of Julius and adding a tremendous amount of Mosaic to the dry hop with a kiss of Amarillo. What results is a beer with all the deliciousness of Julius with a pungent additional layer of citrusy complexity. Over time, Alter Ego has become a truly singular member of the Tree House family"
525,Doppelgänger,IPA - Imperial / Double,88,8.2,This beer is an imperial version of Alter Ego. It is intensely kettle and dry hopped to produce a pungent and flavorful Double IPA that is super pleasant to drink. It is simply and easily described as a juicy and dank citrus bomb
527,Sap,IPA - American,80,7.3,"Though originally brewed as a ""Christmas"" beer, this piney IPA, brewed almost exclusively Chinook hops, was so enjoyable we decided to put it into the 'year round' rotation. With it's golden yellow color, rich aroma, and drying body, it's hard to stop drinking this one.

Sap is a deceptively soft beer brimming with distinctive notes of grapefruit, mango, pine, and earthy spice. With waves of diverse flavor, it is perhaps our most complex IPA. It is the result of our uncompromising dedication to fresh, progressive, delightful beer. We hope you enjoy it with laughter, good cheer and in the company of those you love"
528,Bright,IPA - Imperial / Double,75,7.8,"Bright was created to be a clean and elegant showcase for one of our favorite hops - Mosaic! It is crafted with a simple malt bill and fermented with clean American Ale yeast to create a flavor profile that is more a function of its vibrant fresh ingredients than an expression of yeast character. Bright’s aroma is a cornucopia of citrus dank… The taste follows suit with notes of grapefruit, sweet berries, and clementine with a gentle orange rind finish. She is dry, soft, and adequately bittered resulting in a very approachable yet pungent Double IPA"
529,JJJULIUSSS!,IPA - American,75,6.8,"Julius gone wild (not funky wild, like insane hop saturation wild)! For the second special edition of Julius brewed specifically for the third anniversary party, we pushed the level of citrus to the fringes of obscenity through additional kettle and dry hopping with the base Julius hop blend. The result is perhaps the most juicy and delectable creation we have ever made! Preposterous Julius, in the best way imaginable"
530,King Julius,IPA - Imperial / Double,85,8.2,"King Julius is an American Double IPA brewed to be an exceptionally flavorful, juicy, and hop saturated beer while never tiring the palate. Its vivid citrus aromas give way to flavors of orange creamsicle, mango smoothie, and a bounty of fresh tropical fruit. We find it to be supremely soft in the midst of an onslaught of flavor...a beer we are quite proud of"
